Time,Strain,Metabolite,Concentration,Date,Number,OD600
6.0,WT,Adenine Hemi,0.25,10.7.22,1,0.03096
6.0,WT,Adenine Hemi,0.50,10.7.22,1,0.02499
6.0,WT,Adenine Hemi,2.50,10.7.22,1,0.01249
6.0,WT,Adenine Hemi,5.00,10.7.22,1,0.01029
6.0,WT,Adenine Hemi,12.50,10.7.22,1,0.01499
6.0,WT,Adenine Hemi,25.00,10.7.22,1,0.00829
6.0,152,Adenine Hemi,0.00,10.7.22,1,0.01586
6.0,152,Adenine Hemi,0.00,10.7.22,1,0.01352
6.0,152,Adenine Hemi,0.03,10.7.22,1,0.01519
6.0,152,Adenine Hemi,0.25,10.7.22,1,0.02162
6.0,152,Adenine Hemi,0.50,10.7.22,1,0.01109
6.0,152,Adenine Hemi,2.50,10.7.22,1,0.01046
6.0,152,Adenine Hemi,5.00,10.7.22,1,0.01086
6.0,152,Adenine Hemi,12.50,10.7.22,1,0.01389
6.0,152,Adenine Hemi,25.00,10.7.22,1,0.00542
6.5,WT,Adenine Hemi,0.00,10.7.22,1,0.02097
6.5,WT,Adenine Hemi,0.00,10.7.22,1,0.01670
6.5,WT,Adenine Hemi,0.03,10.7.22,1,0.02300
6.5,WT,Adenine Hemi,0.25,10.7.22,1,0.02487
6.5,WT,Adenine Hemi,0.50,10.7.22,1,0.02010
6.5,WT,Adenine Hemi,2.50,10.7.22,1,0.01053
6.5,WT,Adenine Hemi,5.00,10.7.22,1,0.00910
6.5,WT,Adenine Hemi,12.50,10.7.22,1,0.01037
6.5,WT,Adenine Hemi,25.00,10.7.22,1,0.00837
6.5,152,Adenine Hemi,0.00,10.7.22,1,0.01883
6.5,152,Adenine Hemi,0.00,10.7.22,1,0.01573
6.5,152,Adenine Hemi,0.03,10.7.22,1,0.01737
6.5,152,Adenine Hemi,0.25,10.7.22,1,0.02573
6.5,152,Adenine Hemi,0.50,10.7.22,1,0.01320
6.5,152,Adenine Hemi,2.50,10.7.22,1,0.01207
6.5,152,Adenine Hemi,5.00,10.7.22,1,0.01210
6.5,152,Adenine Hemi,12.50,10.7.22,1,0.01550
6.5,152,Adenine Hemi,25.00,10.7.22,1,0.00587
7.0,WT,Adenine Hemi,0.00,10.7.22,1,0.02811
7.0,WT,Adenine Hemi,0.00,10.7.22,1,0.01901
7.0,WT,Adenine Hemi,0.03,10.7.22,1,0.02458
7.0,WT,Adenine Hemi,0.25,10.7.22,1,0.02768
7.0,WT,Adenine Hemi,0.50,10.7.22,1,0.02291
7.0,WT,Adenine Hemi,2.50,10.7.22,1,0.01278
7.0,WT,Adenine Hemi,5.00,10.7.22,1,0.01034
7.0,WT,Adenine Hemi,12.50,10.7.22,1,0.01318
7.0,WT,Adenine Hemi,25.00,10.7.22,1,0.00988
7.0,152,Adenine Hemi,0.00,10.7.22,1,0.01861
7.0,152,Adenine Hemi,0.00,10.7.22,1,0.01898
7.0,152,Adenine Hemi,0.03,10.7.22,1,0.02041
7.0,152,Adenine Hemi,0.25,10.7.22,1,0.02018
7.0,152,Adenine Hemi,0.50,10.7.22,1,0.01628
7.0,152,Adenine Hemi,2.50,10.7.22,1,0.01494
7.0,152,Adenine Hemi,5.00,10.7.22,1,0.01541
7.0,152,Adenine Hemi,12.50,10.7.22,1,0.01528
7.0,152,Adenine Hemi,25.00,10.7.22,1,0.00748
7.5,WT,Adenine Hemi,0.00,10.7.22,1,0.02966
7.5,WT,Adenine Hemi,0.00,10.7.22,1,0.02422
7.5,WT,Adenine Hemi,0.03,10.7.22,1,0.02402
7.5,WT,Adenine Hemi,0.25,10.7.22,1,0.03352
